codigo_producto,descripcion,lead_time_days,coverage_days,safety_days,moq,multiple
7161,Clear Iso Whey Orange-Yuzu 450gr,21,30,7,1,1
7162,Clear Iso Whey Watermelon 450gr,21,30,7,1,1
7706,Vegan Protein Neutral 480 g,21,30,7,1,1
7707,Vegan Protein Chocolate 480 g,21,30,7,1,1
7715,Senior Protein Orange-Yoghurt 455 g,21,30,7,1,1
7716,Senior Protein Chocolate 455 g,21,30,7,1,1
8029,Isotonic Red Orange 20 x 52 g,21,30,7,1,1
8050,,21,30,7,1,1
8118,Isotonic Fruitmix 1000 g,21,30,7,1,1
8123,Isotonic Red Orange 1000 g,21,30,7,1,1
8143,Isotonic Peach 1000 g,21,30,7,1,1
8153,,21,30,7,1,1
8154,Isotonic Ice Tea 1000 g,21,30,7,1,1
8166,,21,30,7,1,1
8168,,21,30,7,1,1
8169,,21,30,7,1,1
8170,,21,30,7,1,1
8202,Competition Orange 1000 g,21,30,7,1,1
8203,Competition Citrus 1000 g,21,30,7,1,1
8205,Competition Raspberry 1000 g,21,30,7,1,1
8206,Competition Fruitmix 1000 g,21,30,7,1,1
8207,Competition Cool Mint 1000 g,21,30,7,1,1
8208,,21,30,7,1,1
82080,Premium Plant Protein Vanille 455 g,21,30,7,1,1
8210,,21,30,7,1,1
8212,Competition Orange 800 g,21,30,7,1,1
8213,,21,30,7,1,1
8215,Competition Raspberry 800 g,21,30,7,1,1
8216,Competition Fruitmix 800 g,21,30,7,1,1
8217,Competition Cool Mint 800 g,21,30,7,1,1
8222,Competition Orange 20 x 60 g,21,30,7,1,1
8225,Carbo Fuel Blackcurrant 1000 g,21,30,7,1,1
9302,,21,30,7,1,1
