version,fecha,dias_validacion,n_features,mae_validacion,wmape_validacion,dias_backtest,wmape_backtest,sesgo_backtest,pct_total_real_backtest,pct_sku_mes_dentro_20pct,tipo_modelo
v1,2026-08-25T13:34:12,150.0,16.0,0.1391,1.3543,150.0,1.3866,-0.0345,0.6855,0.1432,
v2,2026-08-25T13:36:35,150.0,21.0,0.1484,1.4451,150.0,1.6051,-0.0022,0.9797,0.2211,
v3,2026-08-25T13:39:21,150.0,18.0,0.1499,1.4596,150.0,1.6181,-0.0014,0.987,0.2111,
v4,2026-08-25T13:42:08,150.0,21.0,0.1494,1.4549,150.0,1.5672,-0.0056,0.9487,0.2085,
v5,2026-08-25T14:10:55,150.0,21.0,0.1443,1.4053,150.0,1.4705,-0.0156,0.8575,0.2035,hurdle
v6,2026-08-25T14:36:26,150.0,21.0,0.1532,1.4917,150.0,1.6168,0.0112,1.1024,0.2261,hurdle
v7,2026-08-25T14:54:06,150.0,21.0,0.1483,1.444,150.0,1.4992,0.0029,1.0262,0.2035,hurdle
v8,2026-08-27T12:48:43,150.0,21.0,0.1186,1.405,150.0,1.4748,-0.0058,0.9338,0.2418,hurdle
